base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence
fröjzik / fröjözik	fröjzik / fröjözik	cselekszenek/cselekednek	nonce word response	fröjzötök	fröjöztök	8	21	-0.8938178760220964	-zik	1	NA	tek	János imád fröjözni, ezért sokat fröjzik.	Ti ritkán...
frorlik / frorozik	frorlik / frorozik	cselekszenek/cselekednek	nonce word response	frorlanak	froroznak	17	10	0.49247648509779424	-lik	1	NA	nek	János imád frorozni, ezért sokat frorlik.	Ők ritkán...
fupét	fupét	hotelban/hotelben	nonce word response	fupétnál	fupétnél	12	17	-0.325422400434628	NA	NA	é	nál	Ez itt egy fupét.	Nincs is jobb egy jó...
gábéd	gábéd	hotelban/hotelben	nonce word response	gábédnál	gábédnél	20	7	0.965080896043587	NA	NA	é	nál	Ez itt egy gábéd.	Nincs is jobb egy jó...
galárzik / galározik	galárzik / galározik	cselekszenek/cselekednek	nonce word response	galárzanak	galároznak	10	17	-0.49247648509779407	-zik	2	NA	nek	János imád galározni, ezért sokat galárzik.	Ők ritkán...
garcép	garcép	hotelban/hotelben	nonce word response	garcépnál	garcépnél	14	15	-0.06453852113757118	NA	NA	é	nál	Ez itt egy garcép.	Nincs is jobb egy jó...
gatáglik / gatágozik	gatáglik / gatágozik	cselekszenek/cselekednek	nonce word response	gatáglunk	gatágozunk	8	19	-0.7985076962177716	-lik	2	NA	ünk	János imád gatágozni, ezért sokat gatáglik.	Mi ritkán...
géreglik / géregezik	géreglik / géregezik	cselekszenek/cselekednek	nonce word response	géregletek	géregeztek	9	18	-0.6418538861723948	-lik	2	NA	tek	János imád géregezni, ezért sokat géreglik.	Ti ritkán...
gerénylik	geré¥lik	lakok/lakom	nonce word response	gerénylek	gerénylem	23	3	1.791759469228055	-lik	2	NA	NA	Te bizony sokat gerénylesz.	Én is sokat...
gibemlik / gibemezik	gibemlik / gibemezik	cselekszenek/cselekednek	nonce word response	gibemlünk	gibemezünk	16	10	0.4353180712578455	-lik	2	NA	ünk	János imád gibemezni, ezért sokat gibemlik.	Mi ritkán...
gicéj	gicéj	hotelban/hotelben	nonce word response	gicéjnál	gicéjnél	1	25	-2.5649493574615367	NA	NA	é	nál	Ez itt egy gicéj.	Nincs is jobb egy jó...
gihamlik / gihamozik	gihamlik / gihamozik	cselekszenek/cselekednek	nonce word response	gihamlanak	gihamoznak	17	12	0.32542240043462795	-lik	2	NA	nek	János imád gihamozni, ezért sokat gihamlik.	Ők ritkán...
gihejlik / gihejezik	gihejlik / gihejezik	cselekszenek/cselekednek	nonce word response	gihejlünk	gihejezünk	17	10	0.49247648509779424	-lik	2	NA	ünk	János imád gihejezni, ezért sokat gihejlik.	Mi ritkán...
giheszt	giheßt	hotelban/hotelben	nonce word response	gihesztnak	gihesztnek	2	27	-2.2335922215070942	NA	NA	e	nak	Ez itt egy giheszt.	Elneveztem a kutyámat...
gilárzik	gilárzik	lakok/lakom	nonce word response	gilárzok	gilárzom	8	21	-0.8938178760220964	-zik	2	NA	NA	Te bizony sokat gilárzol.	Én is sokat...
gonszék	gonßék	hotelban/hotelben	nonce word response	gonszéknál	gonszéknél	9	18	-0.6418538861723948	NA	NA	é	nál	Ez itt egy gonszék.	Nincs is jobb egy jó...
gótem	gótem	hotelban/hotelben	nonce word response	gótemnak	gótemnek	5	21	-1.2992829841302609	NA	NA	e	nak	Ez itt egy gótem.	Elneveztem a kutyámat...
gúden	gúden	hotelban/hotelben	nonce word response	gúdenban	gúdenben	2	27	-2.2335922215070942	NA	NA	e	ban	Ez itt egy gúden.	Ott vagyunk a...
gyibakszik	©ibakßik	lakok/lakom	nonce word response	gyibakszok	gyibakszom	9	17	-0.587786664902119	-szik	2	NA	NA	Te bizony sokat gyibakszol.	Én is sokat...
gyibeslik	©ibeslik	lakok/lakom	nonce word response	gyibeslek	gyibeslem	18	9	0.6418538861723947	-lik	2	NA	NA	Te bizony sokat gyibeslesz.	Én is sokat...
gyihegzik / gyihegezik	©ihegzik / ©ihegezik	cselekszenek/cselekednek	nonce word response	gyihegzetek	gyihegeztek	12	17	-0.325422400434628	-zik	2	NA	tek	János imád gyihegezni, ezért sokat gyihegzik.	Ti ritkán...
gyivádzik	©ivádzik	lakok/lakom	nonce word response	gyivádzok	gyivádzom	9	18	-0.6418538861723948	-zik	2	NA	NA	Te bizony sokat gyivádzol.	Én is sokat...
gyivepszik / gyivepedik	©ivepßik / ©ivepedik	cselekszenek/cselekednek	nonce word response	gyivepszenek	gyivepednek	15	12	0.20763936477824455	-szik	2	NA	nek	János imád gyivepedni, ezért sokat gyivepszik.	Ők ritkán...
hágyét	há©ét	hotelban/hotelben	nonce word response	hágyétnak	hágyétnek	13	13	0	NA	NA	é	nak	Ez itt egy hágyét.	Elneveztem a kutyámat...
hákszik / hákodik	hákßik / hákodik	cselekszenek/cselekednek	nonce word response	hákszanak	hákodnak	15	14	0.06453852113757116	-szik	1	NA	nek	János imád hákodni, ezért sokat hákszik.	Ők ritkán...
herégszik	herégßik	lakok/lakom	nonce word response	herégszek	herégszem	9	18	-0.6418538861723948	-szik	2	NA	NA	Te bizony sokat herégszel.	Én is sokat...
hijegy	hije©	hotelban/hotelben	nonce word response	hijegynál	hijegynél	3	24	-1.8325814637483102	NA	NA	e	nál	Ez itt egy hijegy.	Nincs is jobb egy jó...
hilarzik	hilarzik	lakok/lakom	nonce word response	hilarzok	hilarzom	14	13	0.06899287148695142	-zik	2	NA	NA	Te bizony sokat hilarzol.	Én is sokat...
hiragzik / hiragozik	hiragzik / hiragozik	cselekszenek/cselekednek	nonce word response	hiragzanak	hiragoznak	15	12	0.20763936477824455	-zik	2	NA	nek	János imád hiragozni, ezért sokat hiragzik.	Ők ritkán...
hivép	hivép	hotelban/hotelben	nonce word response	hivépban	hivépben	4	23	-1.5686159179138452	NA	NA	é	ban	Ez itt egy hivép.	Ott vagyunk a...
hóbens	hóbens	hotelban/hotelben	nonce word response	hóbensban	hóbensben	5	22	-1.3437347467010947	NA	NA	e	ban	Ez itt egy hóbens.	Ott vagyunk a...
hosét	hosét	hotelban/hotelben	nonce word response	hosétnak	hosétnek	14	13	0.06899287148695142	NA	NA	é	nak	Ez itt egy hosét.	Elneveztem a kutyámat...
hubonylik / hubonyozik	hubo¥lik / hubo¥ozik	cselekszenek/cselekednek	nonce word response	hubonylotok	hubonyoztok	10	19	-0.5978370007556204	-lik	2	NA	tek	János imád hubonyozni, ezért sokat hubonylik.	Ti ritkán...
hűgzik	hűgzik	lakok/lakom	nonce word response	hűgzök	hűgzöm	13	13	0	-zik	1	NA	NA	Te bizony sokat hűgzöl.	Én is sokat...
huklik	huklik	lakok/lakom	nonce word response	huklok	huklom	13	14	-0.06899287148695143	-lik	1	NA	NA	Te bizony sokat huklasz.	Én is sokat...
humék	humék	hotelban/hotelben	nonce word response	huméknak	huméknek	13	13	0	NA	NA	é	nak	Ez itt egy humék.	Elneveztem a kutyámat...
hurjorzik	hurjorzik	lakok/lakom	nonce word response	hurjorzok	hurjorzom	14	13	0.06899287148695142	-zik	2	NA	NA	Te bizony sokat hurjorzol.	Én is sokat...
huroslik	huroslik	lakok/lakom	nonce word response	huroslok	huroslom	22	7	1.0560526742493137	-lik	2	NA	NA	Te bizony sokat huroslasz.	Én is sokat...
ibáglik	ibáglik	lakok/lakom	nonce word response	ibáglok	ibáglom	18	9	0.6418538861723947	-lik	2	NA	NA	Te bizony sokat ibáglasz.	Én is sokat...
ibékszik	ibékßik	lakok/lakom	nonce word response	ibékszek	ibékszem	10	16	-0.4353180712578455	-szik	2	NA	NA	Te bizony sokat ibékszel.	Én is sokat...
ikszert	ikßert	hotelban/hotelben	nonce word response	ikszertban	ikszertben	0	29	-3.4011973816621555	NA	NA	e	ban	Ez itt egy ikszert.	Ott vagyunk a...
incéj	incéj	hotelban/hotelben	nonce word response	incéjnak	incéjnek	2	25	-2.159484249353372	NA	NA	é	nak	Ez itt egy incéj.	Elneveztem a kutyámat...
ítens	ítens	hotelban/hotelben	nonce word response	ítensban	ítensben	4	25	-1.6486586255873816	NA	NA	e	ban	Ez itt egy ítens.	Ott vagyunk a...
jábéz	jábéz	hotelban/hotelben	nonce word response	jábézban	jábézben	16	13	0.1941560144409574	NA	NA	é	ban	Ez itt egy jábéz.	Ott vagyunk a...
jalrény	jalré¥	hotelban/hotelben	nonce word response	jalrénynál	jalrénynél	13	14	-0.06899287148695143	NA	NA	é	nál	Ez itt egy jalrény.	Nincs is jobb egy jó...
játlik / játozik	játlik / játozik	cselekszenek/cselekednek	nonce word response	játlunk	játozunk	19	10	0.5978370007556204	-lik	1	NA	ünk	János imád játozni, ezért sokat játlik.	Mi ritkán...
jóbec	jóbec	hotelban/hotelben	nonce word response	jóbecnak	jóbecnek	8	21	-0.8938178760220964	NA	NA	e	nak	Ez itt egy jóbec.	Elneveztem a kutyámat...
jonylik	jo¥lik	lakok/lakom	nonce word response	jonylok	jonylom	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat jonylasz.	Én is sokat...
jorzég	jorzég	hotelban/hotelben	nonce word response	jorzégnak	jorzégnek	10	17	-0.49247648509779407	NA	NA	é	nak	Ez itt egy jorzég.	Elneveztem a kutyámat...
júder	júder	hotelban/hotelben	nonce word response	júdernak	júdernek	10	19	-0.5978370007556204	NA	NA	e	nak	Ez itt egy júder.	Elneveztem a kutyámat...
jukél	jukél	hotelban/hotelben	nonce word response	jukélnál	jukélnél	12	15	-0.2076393647782445	NA	NA	é	nál	Ez itt egy jukél.	Nincs is jobb egy jó...
jurdent	jurdent	hotelban/hotelben	nonce word response	jurdentnál	jurdentnél	7	19	-0.916290731874155	NA	NA	e	nál	Ez itt egy jurdent.	Nincs is jobb egy jó...
jurlik / jurozik	jurlik / jurozik	cselekszenek/cselekednek	nonce word response	jurlunk	jurozunk	14	13	0.06899287148695142	-lik	1	NA	ünk	János imád jurozni, ezért sokat jurlik.	Mi ritkán...
jüslik	jüslik	lakok/lakom	nonce word response	jüslök	jüslöm	20	7	0.965080896043587	-lik	1	NA	NA	Te bizony sokat jüslesz.	Én is sokat...
juszlik	jußlik	lakok/lakom	nonce word response	juszlok	juszlom	18	11	0.45953232937844013	-lik	1	NA	NA	Te bizony sokat juszlasz.	Én is sokat...
jutély	juté¬	hotelban/hotelben	nonce word response	jutélynál	jutélynél	19	8	0.7985076962177716	NA	NA	é	nál	Ez itt egy jutély.	Nincs is jobb egy jó...
kábesz	kábeß	hotelban/hotelben	nonce word response	kábesznál	kábesznél	11	15	-0.2876820724517809	NA	NA	e	nál	Ez itt egy kábesz.	Nincs is jobb egy jó...
kadér	kadér	hotelban/hotelben	nonce word response	kadérnál	kadérnél	19	8	0.7985076962177716	NA	NA	é	nál	Ez itt egy kadér.	Nincs is jobb egy jó...
kalhész	kalhéß	hotelban/hotelben	nonce word response	kalhésznak	kalhésznek	13	14	-0.06899287148695143	NA	NA	é	nak	Ez itt egy kalhész.	Elneveztem a kutyámat...
kalréz	kalréz	hotelban/hotelben	nonce word response	kalrézban	kalrézben	16	13	0.1941560144409574	NA	NA	é	ban	Ez itt egy kalréz.	Ott vagyunk a...
kaszép	kaßép	hotelban/hotelben	nonce word response	kaszépnak	kaszépnek	11	16	-0.3483066942682157	NA	NA	é	nak	Ez itt egy kaszép.	Elneveztem a kutyámat...
kátéd	kátéd	hotelban/hotelben	nonce word response	kátédnál	kátédnél	19	10	0.5978370007556204	NA	NA	é	nál	Ez itt egy kátéd.	Nincs is jobb egy jó...
kátel	kátel	hotelban/hotelben	nonce word response	kátelnak	kátelnek	4	22	-1.5260563034950494	NA	NA	e	nak	Ez itt egy kátel.	Elneveztem a kutyámat...
klajrén	klajrén	hotelban/hotelben	nonce word response	klajrénnak	klajrénnek	17	12	0.32542240043462795	NA	NA	é	nak	Ez itt egy klajrén.	Elneveztem a kutyámat...
klaráglik	klaráglik	lakok/lakom	nonce word response	klaráglok	klaráglom	20	7	0.965080896043587	-lik	2	NA	NA	Te bizony sokat klaráglasz.	Én is sokat...
kláragszik / kláragodik	kláragßik / kláragodik	cselekszenek/cselekednek	nonce word response	kláragszotok	kláragodtok	15	11	0.28768207245178085	-szik	2	NA	tek	János imád kláragodni, ezért sokat kláragszik.	Ti ritkán...
klarágzik / klarágozik	klarágzik / klarágozik	cselekszenek/cselekednek	nonce word response	klarágzotok	klarágoztok	7	19	-0.916290731874155	-zik	2	NA	tek	János imád klarágozni, ezért sokat klarágzik.	Ti ritkán...
klárzik	klárzik	lakok/lakom	nonce word response	klárzok	klárzom	13	13	0	-zik	1	NA	NA	Te bizony sokat klárzol.	Én is sokat...
klazér	klazér	hotelban/hotelben	nonce word response	klazérban	klazérben	16	13	0.1941560144409574	NA	NA	é	ban	Ez itt egy klazér.	Ott vagyunk a...
kléglik / klégezik	kléglik / klégezik	cselekszenek/cselekednek	nonce word response	kléglünk	klégezünk	16	10	0.4353180712578455	-lik	1	NA	ünk	János imád klégezni, ezért sokat kléglik.	Mi ritkán...
klehénylik / klehényezik	klehé¥lik / klehé¥ezik	cselekszenek/cselekednek	nonce word response	klehényletek	klehényeztek	17	12	0.32542240043462795	-lik	2	NA	tek	János imád klehényezni, ezért sokat klehénylik.	Ti ritkán...
klétszik	klétßik	lakok/lakom	nonce word response	klétszek	klétszem	11	15	-0.2876820724517809	-szik	1	NA	NA	Te bizony sokat klétszel.	Én is sokat...
klibamlik	klibamlik	lakok/lakom	nonce word response	klibamlok	klibamlom	16	10	0.4353180712578455	-lik	2	NA	NA	Te bizony sokat klibamlasz.	Én is sokat...
klidlik	klidlik	lakok/lakom	nonce word response	klidlok	klidlom	21	8	0.8938178760220965	-lik	1	NA	NA	Te bizony sokat klidlasz.	Én is sokat...
klihaslik / klihasozik	klihaslik / klihasozik	cselekszenek/cselekednek	nonce word response	klihaslotok	klihasoztok	12	15	-0.2076393647782445	-lik	2	NA	tek	János imád klihasozni, ezért sokat klihaslik.	Ti ritkán...
klingesz	klingeß	hotelban/hotelben	nonce word response	klingeszban	klingeszben	3	26	-1.9095425048844386	NA	NA	e	ban	Ez itt egy klingesz.	Ott vagyunk a...
kliszer	klißer	hotelban/hotelben	nonce word response	kliszernál	kliszernél	3	24	-1.8325814637483102	NA	NA	e	nál	Ez itt egy kliszer.	Nincs is jobb egy jó...
klítegy	klíte©	hotelban/hotelben	nonce word response	klítegynál	klítegynél	4	25	-1.6486586255873816	NA	NA	e	nál	Ez itt egy klítegy.	Nincs is jobb egy jó...
klivaslik	klivaslik	lakok/lakom	nonce word response	klivaslok	klivaslom	19	7	0.9162907318741551	-lik	2	NA	NA	Te bizony sokat klivaslasz.	Én is sokat...
klordény	klordé¥	hotelban/hotelben	nonce word response	klordénynak	klordénynek	14	13	0.06899287148695142	NA	NA	é	nak	Ez itt egy klordény.	Elneveztem a kutyámat...
klörlik	klörlik	lakok/lakom	nonce word response	klörlök	klörlöm	18	9	0.6418538861723947	-lik	1	NA	NA	Te bizony sokat klörlesz.	Én is sokat...
klosét	klosét	hotelban/hotelben	nonce word response	klosétnak	klosétnek	18	8	0.7472144018302211	NA	NA	é	nak	Ez itt egy klosét.	Elneveztem a kutyámat...
kluhéj	kluhéj	hotelban/hotelben	nonce word response	kluhéjnál	kluhéjnél	19	10	0.5978370007556204	NA	NA	é	nál	Ez itt egy kluhéj.	Nincs is jobb egy jó...
klűmlik / klűmözik	klűmlik / klűmözik	cselekszenek/cselekednek	nonce word response	klűmlötök	klűmöztök	11	18	-0.4595323293784402	-lik	1	NA	tek	János imád klűmözni, ezért sokat klűmlik.	Ti ritkán...
kluzlik / kluzozik	kluzlik / kluzozik	cselekszenek/cselekednek	nonce word response	kluzlotok	kluzoztok	12	17	-0.325422400434628	-lik	1	NA	tek	János imád kluzozni, ezért sokat kluzlik.	Ti ritkán...
köszlik / köszözik	kößlik / kößözik	cselekszenek/cselekednek	nonce word response	köszlötök	köszöztök	11	16	-0.3483066942682157	-lik	1	NA	tek	János imád köszözni, ezért sokat köszlik.	Ti ritkán...
kűdlik / kűdözik	kűdlik / kűdözik	cselekszenek/cselekednek	nonce word response	kűdlenek	kűdöznek	19	8	0.7985076962177716	-lik	1	NA	nek	János imád kűdözni, ezért sokat kűdlik.	Ők ritkán...
kumlik	kumlik	lakok/lakom	nonce word response	kumlok	kumlom	25	4	1.6486586255873816	-lik	1	NA	NA	Te bizony sokat kumlasz.	Én is sokat...
küslik / küsözik	küslik / küsözik	cselekszenek/cselekednek	nonce word response	küslünk	küsözünk	18	9	0.6418538861723947	-lik	1	NA	ünk	János imád küsözni, ezért sokat küslik.	Mi ritkán...
lájzik / lájozik	lájzik / lájozik	cselekszenek/cselekednek	nonce word response	lájzotok	lájoztok	16	10	0.4353180712578455	-zik	1	NA	tek	János imád lájozni, ezért sokat lájzik.	Ti ritkán...
licegy	lice©	hotelban/hotelben	nonce word response	licegyban	licegyben	2	24	-2.120263536200091	NA	NA	e	ban	Ez itt egy licegy.	Ott vagyunk a...
lihadzik	lihadzik	lakok/lakom	nonce word response	lihadzok	lihadzom	16	13	0.1941560144409574	-zik	2	NA	NA	Te bizony sokat lihadzol.	Én is sokat...
lihény	lihé¥	hotelban/hotelben	nonce word response	lihénynak	lihénynek	2	25	-2.159484249353372	NA	NA	é	nak	Ez itt egy lihény.	Elneveztem a kutyámat...
lijez	lijez	hotelban/hotelben	nonce word response	lijeznak	lijeznek	2	27	-2.2335922215070942	NA	NA	e	nak	Ez itt egy lijez.	Elneveztem a kutyámat...
lingék	lingék	hotelban/hotelben	nonce word response	lingéknál	lingéknél	3	26	-1.9095425048844386	NA	NA	é	nál	Ez itt egy lingék.	Nincs is jobb egy jó...
lírlik / lírozik	lírlik / lírozik	cselekszenek/cselekednek	nonce word response	lírlanak	líroznak	14	15	-0.06453852113757118	-lik	1	NA	nek	János imád lírozni, ezért sokat lírlik.	Ők ritkán...
lismév	lismév	hotelban/hotelben	nonce word response	lismévban	lismévben	3	23	-1.791759469228055	NA	NA	é	ban	Ez itt egy lismév.	Ott vagyunk a...
livaklik	livaklik	lakok/lakom	nonce word response	livaklok	livaklom	7	20	-0.9650808960435872	-lik	2	NA	NA	Te bizony sokat livaklasz.	Én is sokat...
livénylik / livényezik	livé¥lik / livé¥ezik	cselekszenek/cselekednek	nonce word response	livénylünk	livényezünk	18	11	0.45953232937844013	-lik	2	NA	ünk	János imád livényezni, ezért sokat livénylik.	Mi ritkán...
lorjódzik	lorjódzik	lakok/lakom	nonce word response	lorjódzok	lorjódzom	13	16	-0.1941560144409575	-zik	2	NA	NA	Te bizony sokat lorjódzol.	Én is sokat...
lörűdzik	lörűdzik	lakok/lakom	nonce word response	lörűdzök	lörűdzöm	12	15	-0.2076393647782445	-zik	2	NA	NA	Te bizony sokat lörűdzöl.	Én is sokat...
lorzens	lorzens	hotelban/hotelben	nonce word response	lorzensnál	lorzensnél	5	22	-1.3437347467010947	NA	NA	e	nál	Ez itt egy lorzens.	Nincs is jobb egy jó...
lűklik / lűközik	lűklik / lűközik	cselekszenek/cselekednek	nonce word response	lűklenek	lűköznek	11	15	-0.2876820724517809	-lik	1	NA	nek	János imád lűközni, ezért sokat lűklik.	Ők ritkán...
luméz	luméz	hotelban/hotelben	nonce word response	lumézban	lumézben	14	13	0.06899287148695142	NA	NA	é	ban	Ez itt egy luméz.	Ott vagyunk a...
lumlik / lumozik	lumlik / lumozik	cselekszenek/cselekednek	nonce word response	lumlotok	lumoztok	11	15	-0.2876820724517809	-lik	1	NA	tek	János imád lumozni, ezért sokat lumlik.	Ti ritkán...
mádép	mádép	hotelban/hotelben	nonce word response	mádépnál	mádépnél	18	9	0.6418538861723947	NA	NA	é	nál	Ez itt egy mádép.	Nincs is jobb egy jó...
mágamlik / mágamozik	mágamlik / mágamozik	cselekszenek/cselekednek	nonce word response	mágamlunk	mágamozunk	17	9	0.5877866649021191	-lik	2	NA	ünk	János imád mágamozni, ezért sokat mágamlik.	Mi ritkán...
málapszik	málapßik	lakok/lakom	nonce word response	málapszok	málapszom	13	14	-0.06899287148695143	-szik	2	NA	NA	Te bizony sokat málapszol.	Én is sokat...
marzik	marzik	lakok/lakom	nonce word response	marzok	marzom	19	8	0.7985076962177716	-zik	1	NA	NA	Te bizony sokat marzol.	Én is sokat...
matéz	matéz	hotelban/hotelben	nonce word response	matézban	matézben	18	9	0.6418538861723947	NA	NA	é	ban	Ez itt egy matéz.	Ott vagyunk a...
mékszik	mékßik	lakok/lakom	nonce word response	mékszek	mékszem	12	14	-0.1431008436406733	-szik	1	NA	NA	Te bizony sokat mékszel.	Én is sokat...
metégszik / metégedik	metégßik / metégedik	cselekszenek/cselekednek	nonce word response	metégszenek	metégednek	15	14	0.06453852113757116	-szik	2	NA	nek	János imád metégedni, ezért sokat metégszik.	Ők ritkán...
mihágzik / mihágozik	mihágzik / mihágozik	cselekszenek/cselekednek	nonce word response	mihágzotok	mihágoztok	9	20	-0.7419373447293773	-zik	2	NA	tek	János imád mihágozni, ezért sokat mihágzik.	Ti ritkán...
míjzik / míjozik	míjzik / míjozik	cselekszenek/cselekednek	nonce word response	míjzunk	míjozunk	16	13	0.1941560144409574	-zik	1	NA	ünk	János imád míjozni, ezért sokat míjzik.	Mi ritkán...
míslik / mísozik	míslik / mísozik	cselekszenek/cselekednek	nonce word response	míslunk	mísozunk	16	11	0.3483066942682158	-lik	1	NA	ünk	János imád mísozni, ezért sokat míslik.	Mi ritkán...
molszik / molodik	molßik / molodik	cselekszenek/cselekednek	nonce word response	molszotok	molodtok	21	8	0.8938178760220965	-szik	1	NA	tek	János imád molodni, ezért sokat molszik.	Ti ritkán...
monveg	monveg	hotelban/hotelben	nonce word response	monvegnál	monvegnél	4	23	-1.5686159179138452	NA	NA	e	nál	Ez itt egy monveg.	Nincs is jobb egy jó...
mülőrzik / mülőrözik	mülőrzik / mülőrözik	cselekszenek/cselekednek	nonce word response	mülőrzünk	mülőrözünk	15	11	0.28768207245178085	-zik	2	NA	ünk	János imád mülőrözni, ezért sokat mülőrzik.	Mi ritkán...
murdes	murdes	hotelban/hotelben	nonce word response	murdesnál	murdesnél	9	17	-0.587786664902119	NA	NA	e	nál	Ez itt egy murdes.	Nincs is jobb egy jó...
nágapszik / nágapodik	nágapßik / nágapodik	cselekszenek/cselekednek	nonce word response	nágapszanak	nágapodnak	15	11	0.28768207245178085	-szik	2	NA	nek	János imád nágapodni, ezért sokat nágapszik.	Ők ritkán...
narádzik	narádzik	lakok/lakom	nonce word response	narádzok	narádzom	9	18	-0.6418538861723948	-zik	2	NA	NA	Te bizony sokat narádzol.	Én is sokat...
narem	narem	hotelban/hotelben	nonce word response	naremban	naremben	9	18	-0.6418538861723948	NA	NA	e	ban	Ez itt egy narem.	Ott vagyunk a...
narjárzik	narjárzik	lakok/lakom	nonce word response	narjárzok	narjárzom	13	13	0	-zik	2	NA	NA	Te bizony sokat narjárzol.	Én is sokat...
navec	navec	hotelban/hotelben	nonce word response	navecban	navecben	12	17	-0.325422400434628	NA	NA	e	ban	Ez itt egy navec.	Ott vagyunk a...
nidét	nidét	hotelban/hotelben	nonce word response	nidétban	nidétben	3	26	-1.9095425048844386	NA	NA	é	ban	Ez itt egy nidét.	Ott vagyunk a...
nivárzik / nivározik	nivárzik / nivározik	cselekszenek/cselekednek	nonce word response	nivárzotok	nivároztok	7	19	-0.916290731874155	-zik	2	NA	tek	János imád nivározni, ezért sokat nivárzik.	Ti ritkán...
nuhét	nuhét	hotelban/hotelben	nonce word response	nuhétnál	nuhétnél	12	15	-0.2076393647782445	NA	NA	é	nál	Ez itt egy nuhét.	Nincs is jobb egy jó...
nűröklik	nűröklik	lakok/lakom	nonce word response	nűröklök	nűröklöm	13	16	-0.1941560144409575	-lik	2	NA	NA	Te bizony sokat nűröklesz.	Én is sokat...
nuroklik / nurokozik	nuroklik / nurokozik	cselekszenek/cselekednek	nonce word response	nuroklunk	nurokozunk	20	9	0.7419373447293773	-lik	2	NA	ünk	János imád nurokozni, ezért sokat nuroklik.	Mi ritkán...
nyábét	¥ábét	hotelban/hotelben	nonce word response	nyábétban	nyábétben	16	13	0.1941560144409574	NA	NA	é	ban	Ez itt egy nyábét.	Ott vagyunk a...
nyádlik / nyádozik	¥ádlik / ¥ádozik	cselekszenek/cselekednek	nonce word response	nyádlanak	nyádoznak	18	11	0.45953232937844013	-lik	1	NA	nek	János imád nyádozni, ezért sokat nyádlik.	Ők ritkán...
nyamet	¥amet	hotelban/hotelben	nonce word response	nyametban	nyametben	10	19	-0.5978370007556204	NA	NA	e	ban	Ez itt egy nyamet.	Ott vagyunk a...
nyarcéj	¥arcéj	hotelban/hotelben	nonce word response	nyarcéjnak	nyarcéjnek	13	13	0	NA	NA	é	nak	Ez itt egy nyarcéj.	Elneveztem a kutyámat...
nyáslik	¥áslik	lakok/lakom	nonce word response	nyáslok	nyáslom	17	9	0.5877866649021191	-lik	1	NA	NA	Te bizony sokat nyáslasz.	Én is sokat...
nyítem	¥ítem	hotelban/hotelben	nonce word response	nyítemban	nyítemben	1	25	-2.5649493574615367	NA	NA	e	ban	Ez itt egy nyítem.	Ott vagyunk a...
nyivágzik / nyivágozik	¥ivágzik / ¥ivágozik	cselekszenek/cselekednek	nonce word response	nyivágzunk	nyivágozunk	20	7	0.965080896043587	-zik	2	NA	ünk	János imád nyivágozni, ezért sokat nyivágzik.	Mi ritkán...
nyizlik / nyizozik	¥izlik / ¥izozik	cselekszenek/cselekednek	nonce word response	nyizlunk	nyizozunk	18	9	0.6418538861723947	-lik	1	NA	ünk	János imád nyizozni, ezért sokat nyizlik.	Mi ritkán...
nyöbzik / nyöbözik	¥öbzik / ¥öbözik	cselekszenek/cselekednek	nonce word response	nyöbzenek	nyöböznek	14	15	-0.06453852113757118	-zik	1	NA	nek	János imád nyöbözni, ezért sokat nyöbzik.	Ők ritkán...
nyülöklik / nyülöközik	¥ülöklik / ¥ülöközik	cselekszenek/cselekednek	nonce word response	nyülöklenek	nyülököznek	16	11	0.3483066942682158	-lik	2	NA	nek	János imád nyülöközni, ezért sokat nyülöklik.	Ők ritkán...
nyupér	¥upér	hotelban/hotelben	nonce word response	nyupérnál	nyupérnél	13	13	0	NA	NA	é	nál	Ez itt egy nyupér.	Nincs is jobb egy jó...
nyürzik / nyürözik	¥ürzik / ¥ürözik	cselekszenek/cselekednek	nonce word response	nyürzenek	nyüröznek	14	15	-0.06453852113757118	-zik	1	NA	nek	János imád nyürözni, ezért sokat nyürzik.	Ők ritkán...
pazév	pazév	hotelban/hotelben	nonce word response	pazévnál	pazévnél	13	13	0	NA	NA	é	nál	Ez itt egy pazév.	Nincs is jobb egy jó...
pebzik	pebzik	lakok/lakom	nonce word response	pebzek	pebzem	17	10	0.49247648509779424	-zik	1	NA	NA	Te bizony sokat pebzel.	Én is sokat...
pehégszik / pehégedik	pehégßik / pehégedik	cselekszenek/cselekednek	nonce word response	pehégszetek	pehégedtek	16	10	0.4353180712578455	-szik	2	NA	tek	János imád pehégedni, ezért sokat pehégszik.	Ti ritkán...
pekszik / pekedik	pekßik / pekedik	cselekszenek/cselekednek	nonce word response	pekszünk	pekedünk	19	8	0.7985076962177716	-szik	1	NA	ünk	János imád pekedni, ezért sokat pekszik.	Mi ritkán...
péleslik	péleslik	lakok/lakom	nonce word response	péleslek	péleslem	20	9	0.7419373447293773	-lik	2	NA	NA	Te bizony sokat péleslesz.	Én is sokat...
pibegzik / pibegezik	pibegzik / pibegezik	cselekszenek/cselekednek	nonce word response	pibegzenek	pibegeznek	8	18	-0.7472144018302211	-zik	2	NA	nek	János imád pibegezni, ezért sokat pibegzik.	Ők ritkán...
